fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,total_acidity,acidity_ratio,free_sulfur_ratio,sulfur_dioxide_diff,sugar_alcohol_ratio,sweetness_index,mineral_content,ph_acidity_interaction,wine_body,quality_class
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,9.1,17.0,0.13431,58.0,0.24442,2.0838,0.614,28.847,9.36992,1
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,7.44,16.82927,0.52487,19.0,0.24717,2.1672,0.715,25.5192,9.66896,1
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,6.85,15.75,0.47805,12.0,0.15038,1.2698,0.64,22.879,9.25815,1
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,8.25,18.09524,0.36331,7.0,0.18927,1.629,0.67,27.06,9.4639,1
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,8.54,17.95455,0.2702,27.0,0.16824,1.448,1.016,27.0718,9.4677,1
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,7.81,9.86111,0.39989,21.0,0.20191,1.7214,0.63,27.1007,9.37368,1
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,8.445,11.9084,0.49969,8.0,0.20387,1.804,0.672,28.5441,9.76472,1
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,7.445,9.78102,0.20729,65.0,0.23739,2.1576,0.629,24.94075,10.05758,1
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,7.585,9.92806,0.59443,15.0,0.23563,2.235,0.675,26.2441,10.56396,1
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,9.075,12.4812,0.13273,98.0,0.23445,2.0746,0.743,28.76775,9.76668,1
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,7.625,11.21951,0.48187,43.0,1.13709,9.6942,0.593,26.30625,9.39342,1
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5.77,15.75758,0.25995,37.0,0.19544,1.6344,0.653,19.5026,9.16044,1
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,8.445,11.9084,0.27762,13.0,0.57232,4.972,0.636,28.713,9.58656,1
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,8.54,12.78689,0.19987,12.0,0.22202,2.1408,0.686,29.2068,10.773,1
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,8.76,20.76923,0.43319,17.0,0.21627,1.8963,0.796,28.2948,9.66896,2
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,6.92,5.0,0.36823,12.0,0.15291,1.353,0.652,24.22,9.7412,0
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,8.11,15.86957,0.13792,75.0,0.56137,5.2805,0.904,27.0063,10.4769,1
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,8.11,15.86957,0.13792,75.0,0.56137,5.2805,0.904,27.0063,10.4769,1
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,9.71,14.19355,0.36948,29.0,0.30075,2.5396,0.598,31.6546,9.27768,0
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,8.19,15.0,0.57102,6.0,0.24738,2.327,1.232,26.2899,10.4664,1
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,8.98,12.08955,0.39113,14.0,0.21339,1.9734,1.269,29.634,10.26704,1
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,7.49,10.0,0.45413,6.0,0.18927,1.629,0.57,26.0652,9.4639,1
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,5.27,8.67925,0.12306,57.0,0.16018,1.8249,0.614,20.553,13.01354,0
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,9.065,8.14815,0.19297,92.0,0.23887,1.9976,0.844,29.46125,9.1724,1
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,9.51,29.0,0.32424,25.0,0.16824,1.448,0.693,30.9075,9.47055,1
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,7.03,15.60976,0.41632,7.0,0.17372,1.4528,0.626,23.4802,9.16136,1
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,6.28,17.5,0.12499,84.0,0.15201,1.2712,0.654,20.8496,9.15768,1
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,9.72,13.13433,0.17384,19.0,0.18458,1.5436,0.814,30.618,9.17332,1
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,7.16,12.45283,0.53298,7.0,0.23379,1.9932,0.699,24.344,9.35864,1
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,7.14,12.94118,0.42827,8.0,0.22317,1.9026,0.708,24.2046,9.3577,1
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,9.34,22.05128,0.25208,89.0,0.31881,2.718,0.641,29.888,9.3718,1
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,8.26,14.61538,0.45199,40.0,0.27424,2.5144,0.74,26.1842,10.1541,1
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,8.36,12.22222,0.55543,20.0,0.39958,3.439,0.614,27.9224,9.4791,1
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,11.19,23.72093,0.3996,6.0,0.3538,3.0736,0.7,34.0176,9.57216,1
7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,8.25,11.71875,0.4545,60.0,0.54198,4.6206,0.881,26.895,9.38402,1
7.8,0.59,0.18,2.3,0.076,17.0,54.0,0.9975,3.43,0.59,10.0,8.57,13.0,0.31476,37.0,0.22977,2.07,0.666,29.3951,9.975,1
7.3,0.39,0.31,2.4,0.074,9.0,46.0,0.9962,3.41,0.54,9.4,8.0,18.25,0.19561,37.0,0.25505,2.1744,0.614,27.28,9.36428,1
8.8,0.4,0.4,2.2,0.079,19.0,52.0,0.998,3.44,0.64,9.2,9.6,21.46341,0.36531,33.0,0.23887,1.9976,0.719,33.024,9.1816,1
7.7,0.69,0.49,1.8,0.115,20.0,112.0,0.9968,3.21,0.71,9.3,8.88,11.0,0.17856,92.0,0.19334,1.6326,0.825,28.5048,9.27024,1
7.5,0.52,0.16,1.9,0.085,12.0,35.0,0.9968,3.38,0.62,9.5,8.18,14.15094,0.34276,23.0,0.19979,1.7195,0.705,27.6484,9.4696,2
7.0,0.735,0.05,2.0,0.081,13.0,54.0,0.9966,3.39,0.57,9.8,7.785,9.39597,0.2407,41.0,0.20387,1.804,0.651,26.39115,9.76668,1
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,7.975,9.79592,0.36331,7.0,0.42621,4.14315,0.476,27.19475,10.85858,1
7.2,0.725,0.05,4.65,0.086,4.0,11.0,0.9962,3.41,0.39,10.9,7.975,9.79592,0.36331,7.0,0.42621,4.14315,0.476,27.19475,10.85858,1
7.5,0.52,0.11,1.5,0.079,11.0,39.0,0.9968,3.42,0.58,9.6,8.13,14.15094,0.28198,28.0,0.15609,1.356,0.659,27.8046,9.56928,1
6.6,0.705,0.07,1.6,0.076,6.0,15.0,0.9962,3.44,0.58,10.7,7.375,9.23077,0.39973,9.0,0.14939,1.4288,0.656,25.37,10.65934,1
9.3,0.32,0.57,2.0,0.074,27.0,65.0,0.9969,3.28,0.79,10.7,10.19,28.18182,0.41532,38.0,0.18674,1.786,0.864,33.4232,10.66683,1
8.0,0.705,0.05,1.9,0.074,8.0,19.0,0.9962,3.34,0.95,10.5,8.755,11.18881,0.42083,11.0,0.18078,1.7005,1.024,29.2417,10.4601,1
7.7,0.63,0.08,1.9,0.076,15.0,27.0,0.9967,3.32,0.54,9.5,8.41,12.03125,0.55535,12.0,0.19979,1.7195,0.616,27.9212,9.46865,1
7.7,0.67,0.23,2.1,0.088,17.0,96.0,0.9962,3.32,0.48,9.5,8.6,11.32353,0.17706,79.0,0.22082,1.9005,0.568,28.552,9.4639,1
7.7,0.69,0.22,1.9,0.084,18.0,94.0,0.9961,3.31,0.48,9.5,8.61,11.0,0.19147,76.0,0.19979,1.7195,0.564,28.4991,9.46295,1
8.3,0.675,0.26,2.1,0.084,11.0,43.0,0.9976,3.31,0.53,9.2,9.235,12.11679,0.25575,32.0,0.22801,1.9068,0.614,30.56785,9.17792,0
9.7,0.32,0.54,2.5,0.094,28.0,83.0,0.9984,3.28,0.82,9.6,10.56,29.39394,0.33731,55.0,0.26015,2.26,0.914,34.6368,9.58464,1
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,9.85,20.95238,0.21423,33.0,0.20932,1.969,0.753,34.869,10.4853,1
8.8,0.41,0.64,2.2,0.093,9.0,42.0,0.9986,3.54,0.66,10.5,9.85,20.95238,0.21423,33.0,0.20932,1.969,0.753,34.869,10.4853,1
6.8,0.785,0.0,2.4,0.104,14.0,30.0,0.9966,3.52,0.55,10.7,7.585,8.55346,0.46651,16.0,0.22409,2.1432,0.654,26.6992,10.66362,1
6.7,0.75,0.12,2.0,0.086,12.0,80.0,0.9958,3.38,0.52,10.1,7.57,8.81579,0.14998,68.0,0.19782,1.798,0.606,25.5866,10.05758,1
8.3,0.625,0.2,1.5,0.08,27.0,119.0,0.9972,3.16,1.12,9.1,9.125,13.07087,0.22687,92.0,0.16465,1.3635,1.2,28.835,9.07452,0
6.2,0.45,0.2,1.6,0.069,3.0,15.0,0.9958,3.41,0.56,9.2,6.85,13.47826,0.19987,12.0,0.17372,1.4528,0.629,23.3585,9.16136,1
7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,8.93,17.72727,0.32831,45.0,0.20191,1.7214,1.744,27.9509,9.37556,1
7.4,0.5,0.47,2.0,0.086,21.0,73.0,0.997,3.36,0.57,9.1,8.37,14.5098,0.28763,52.0,0.21954,1.818,0.656,28.1232,9.0727,1
7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,8.23,10.73529,0.31366,35.0,0.19129,1.6308,1.541,26.0068,9.37086,1
6.3,0.3,0.48,1.8,0.069,18.0,61.0,0.9959,3.44,0.78,10.3,7.08,20.32258,0.29503,43.0,0.17459,1.6146,0.849,24.3552,10.25777,1
6.9,0.55,0.15,2.2,0.076,19.0,40.0,0.9961,3.41,0.59,10.1,7.6,12.32143,0.47488,21.0,0.21761,1.9778,0.666,25.916,10.06061,1
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,9.37,17.2,0.14705,116.0,0.19173,1.7119,2.06,27.4541,9.87228,1
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,8.45,15.4,0.29023,22.0,0.19771,1.7176,0.702,28.6455,9.56736,1
9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,10.13,23.25,0.27198,91.0,0.22082,1.9005,1.327,31.8082,9.4791,1
7.0,0.62,0.08,1.8,0.076,8.0,24.0,0.9978,3.48,0.53,9.0,7.7,11.11111,0.33319,16.0,0.19978,1.638,0.606,26.796,8.9802,1
7.9,0.52,0.26,1.9,0.079,42.0,140.0,0.9964,3.23,0.54,9.5,8.68,14.90566,0.29998,98.0,0.19979,1.7195,0.619,28.0364,9.4658,1
8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,9.37,17.2,0.14705,116.0,0.19173,1.7119,2.06,27.4541,9.87228,1
8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,9.38,17.2,0.14285,114.0,0.20387,1.804,2.09,27.4834,9.77256,1
7.7,0.49,0.26,1.9,0.062,9.0,31.0,0.9966,3.39,0.64,9.6,8.45,15.4,0.29023,22.0,0.19771,1.7176,0.702,28.6455,9.56736,1
5.0,1.02,0.04,1.4,0.045,41.0,85.0,0.9938,3.75,0.48,10.5,6.06,4.85437,0.4823,44.0,0.13321,1.253,0.525,22.725,10.4349,0
4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,5.47,7.70492,0.16036,89.0,0.17816,2.0033,0.658,21.0595,12.81228,1
6.8,0.775,0.0,3.0,0.102,8.0,23.0,0.9965,3.45,0.56,10.7,7.575,8.66242,0.34767,15.0,0.28011,2.679,0.662,26.13375,10.66255,1
7.0,0.5,0.25,2.0,0.07,3.0,22.0,0.9963,3.25,0.63,9.2,7.75,13.72549,0.1363,19.0,0.21716,1.816,0.7,25.1875,9.16596,1
7.6,0.9,0.06,2.5,0.079,5.0,10.0,0.9967,3.39,0.56,9.8,8.56,8.35165,0.4995,5.0,0.25484,2.255,0.639,29.0184,9.76766,1
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,8.825,14.59459,0.37132,22.0,0.21088,1.729,0.67,29.1225,8.9748,1
8.3,0.61,0.3,2.1,0.084,11.0,50.0,0.9972,3.4,0.61,10.2,9.21,13.3871,0.21996,39.0,0.20568,1.8858,0.694,31.314,10.17144,1
7.8,0.5,0.3,1.9,0.075,8.0,22.0,0.9959,3.31,0.56,10.4,8.6,15.29412,0.36347,14.0,0.18252,1.7024,0.635,28.466,10.35736,1
8.1,0.545,0.18,1.9,0.08,13.0,35.0,0.9972,3.3,0.59,9.0,8.825,14.59459,0.37132,22.0,0.21088,1.729,0.67,29.1225,8.9748,1
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,8.895,13.84615,0.18459,53.0,0.22801,1.9068,0.587,29.26455,9.16964,1
7.2,0.49,0.24,2.2,0.07,5.0,36.0,0.996,3.33,0.48,9.4,7.93,14.4,0.13885,31.0,0.23379,1.9932,0.55,26.4069,9.3624,1
8.1,0.575,0.22,2.1,0.077,12.0,65.0,0.9967,3.29,0.51,9.2,8.895,13.84615,0.18459,53.0,0.22801,1.9068,0.587,29.26455,9.16964,1
7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,8.89,18.57143,0.26083,51.0,0.1826,1.5419,1.777,27.3812,9.27489,1
6.2,0.63,0.31,1.7,0.088,15.0,64.0,0.9969,3.46,0.79,9.3,7.14,9.6875,0.23434,49.0,0.1826,1.5419,0.878,24.7044,9.27117,1
8.0,0.33,0.53,2.5,0.091,18.0,80.0,0.9976,3.37,0.8,9.6,8.86,23.52941,0.22497,62.0,0.26015,2.26,0.891,29.8582,9.57696,1
8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,9.405,10.18868,0.24181,116.0,0.21482,1.814,0.812,30.19005,9.27117,1
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,8.55,13.68421,0.25526,35.0,0.18927,1.629,1.034,27.2745,9.4658,1
8.4,0.62,0.09,2.2,0.084,11.0,108.0,0.9964,3.15,0.66,9.8,9.11,13.33333,0.10184,97.0,0.22426,1.9844,0.744,28.6965,9.76472,1
8.4,0.6,0.1,2.2,0.085,14.0,111.0,0.9964,3.15,0.66,9.8,9.1,13.77049,0.12611,97.0,0.22426,1.9844,0.745,28.665,9.76472,1
10.1,0.31,0.44,2.3,0.08,22.0,46.0,0.9988,3.32,0.67,9.7,10.85,31.5625,0.47816,24.0,0.23687,2.0769,0.75,36.022,9.68836,1
7.8,0.56,0.19,1.8,0.104,12.0,47.0,0.9964,3.19,0.93,9.5,8.55,13.68421,0.25526,35.0,0.18927,1.629,1.034,27.2745,9.4658,1
9.4,0.4,0.31,2.2,0.09,13.0,62.0,0.9966,3.07,0.63,10.5,10.11,22.92683,0.20964,49.0,0.20932,1.969,0.72,31.0377,10.4643,1
8.3,0.54,0.28,1.9,0.077,11.0,40.0,0.9978,3.39,0.61,10.0,9.12,15.09091,0.27493,29.0,0.18981,1.71,0.687,30.9168,9.978,1
7.8,0.56,0.12,2.0,0.082,7.0,28.0,0.997,3.37,0.5,9.4,8.48,13.68421,0.24991,21.0,0.21254,1.812,0.582,28.5776,9.3718,1
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,9.39,15.71429,0.24996,42.0,0.20165,1.9602,0.719,30.1419,10.85858,1
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,7.77,10.0,0.24716,67.0,0.19544,1.6344,0.637,25.9518,9.16228,1
7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,8.46,6.75926,0.11235,79.0,0.18868,1.547,0.748,27.918,8.9658,1
8.8,0.55,0.04,2.2,0.119,14.0,56.0,0.9962,3.21,0.6,10.9,9.39,15.71429,0.24996,42.0,0.20165,1.9602,0.719,30.1419,10.85858,1
7.3,0.695,0.0,2.5,0.075,3.0,13.0,0.998,3.49,0.52,9.2,7.995,10.35461,0.23059,10.0,0.27144,2.27,0.595,27.90255,9.1816,1
8.0,0.71,0.0,2.6,0.08,11.0,34.0,0.9976,3.44,0.53,9.5,8.71,11.11111,0.32343,23.0,0.2734,2.353,0.61,29.9624,9.4772,1
7.8,0.5,0.17,1.6,0.082,21.0,102.0,0.996,3.39,0.48,9.5,8.47,15.29412,0.20586,81.0,0.16824,1.448,0.562,28.7133,9.462,1
9.0,0.62,0.04,1.9,0.146,27.0,90.0,0.9984,3.16,0.7,9.4,9.66,14.28571,0.29997,63.0,0.20191,1.7214,0.846,30.5256,9.38496,1
8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,9.53,6.1194,0.24979,9.0,0.15582,1.5147,0.571,33.6409,10.86076,1
8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,9.43,6.04478,0.24979,9.0,0.16499,1.6038,0.562,33.3822,10.86076,1
8.0,0.59,0.16,1.8,0.065,3.0,16.0,0.9962,3.42,0.92,10.5,8.75,13.33333,0.18738,13.0,0.17127,1.611,0.985,29.925,10.4601,2
6.1,0.38,0.15,1.8,0.072,6.0,19.0,0.9955,3.42,0.57,9.4,6.63,15.64103,0.31562,13.0,0.19129,1.6308,0.642,22.6746,9.3577,1
8.0,0.745,0.56,2.0,0.118,30.0,134.0,0.9968,3.24,0.66,9.4,9.305,10.59603,0.22386,104.0,0.21254,1.812,0.778,30.1482,9.36992,1
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,6.19,10.98039,0.1717,82.0,0.17679,2.001,0.679,22.4697,12.9181,1
5.6,0.5,0.09,2.3,0.049,17.0,99.0,0.9937,3.63,0.63,13.0,6.19,10.98039,0.1717,82.0,0.17679,2.001,0.679,22.4697,12.9181,1
6.6,0.5,0.01,1.5,0.06,17.0,26.0,0.9952,3.4,0.58,9.8,7.11,12.94118,0.65359,9.0,0.15291,1.353,0.64,24.174,9.75296,1
7.9,1.04,0.05,2.2,0.084,13.0,29.0,0.9959,3.22,0.55,9.9,8.99,7.52381,0.44812,16.0,0.222,1.9822,0.634,28.9478,9.85941,1
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,9.255,11.12583,0.25393,47.0,0.19771,1.7176,0.91,29.52345,9.5664,1
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,9.165,11.44828,0.19227,42.0,0.18927,1.629,0.859,29.60295,9.4696,1
7.2,0.415,0.36,2.0,0.081,13.0,45.0,0.9972,3.48,0.64,9.2,7.975,16.94118,0.28882,32.0,0.21716,1.816,0.721,27.753,9.17424,1
7.8,0.56,0.19,2.1,0.081,15.0,105.0,0.9962,3.33,0.54,9.5,8.55,13.68421,0.14284,90.0,0.22082,1.9005,0.621,28.4715,9.4639,1
7.8,0.56,0.19,2.0,0.081,17.0,108.0,0.9962,3.32,0.54,9.5,8.55,13.68421,0.15739,91.0,0.2103,1.81,0.621,28.386,9.4639,1
8.4,0.745,0.11,1.9,0.09,16.0,63.0,0.9965,3.19,0.82,9.6,9.255,11.12583,0.25393,47.0,0.19771,1.7176,0.91,29.52345,9.5664,1
8.3,0.715,0.15,1.8,0.089,10.0,52.0,0.9968,3.23,0.77,9.5,9.165,11.44828,0.19227,42.0,0.18927,1.629,0.859,29.60295,9.4696,1
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,5.54,14.85714,0.4285,36.0,0.12848,1.548,0.84,20.3872,13.8824,1
6.3,0.39,0.08,1.7,0.066,3.0,20.0,0.9954,3.34,0.58,9.4,6.77,15.75,0.14993,17.0,0.18066,1.5402,0.646,22.6118,9.35676,1
5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,5.54,14.85714,0.4285,36.0,0.12848,1.548,0.84,20.3872,13.8824,1
8.1,0.67,0.55,1.8,0.117,32.0,141.0,0.9968,3.17,0.62,9.4,9.32,11.91176,0.22693,109.0,0.19129,1.6308,0.737,29.5444,9.36992,1
5.8,0.68,0.02,1.8,0.087,21.0,94.0,0.9944,3.54,0.52,10.0,6.5,8.4058,0.22338,73.0,0.17982,1.62,0.607,23.01,9.944,1
7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,8.35,15.2,0.11362,78.0,0.17186,1.4512,1.036,25.9685,9.27024,1
6.9,0.49,0.1,2.3,0.074,12.0,30.0,0.9959,3.42,0.58,10.2,7.49,13.8,0.39987,18.0,0.22527,2.0654,0.654,25.6158,10.15818,1
8.2,0.4,0.44,2.8,0.089,11.0,43.0,0.9975,3.53,0.61,10.5,9.04,20.0,0.25575,32.0,0.26641,2.506,0.699,31.9112,10.47375,1
7.3,0.33,0.47,2.1,0.077,5.0,11.0,0.9958,3.33,0.53,10.3,8.1,21.47059,0.45413,6.0,0.20369,1.8837,0.607,26.973,10.25674,1
9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,10.72,17.35849,0.4637,37.0,0.36132,3.0804,2.61,29.3728,9.39624,0
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,8.13,12.29508,0.2525,74.0,0.17804,1.6182,0.635,27.2355,10.0495,1
7.5,0.6,0.03,1.8,0.095,25.0,99.0,0.995,3.35,0.54,10.1,8.13,12.29508,0.2525,74.0,0.17804,1.6182,0.635,27.2355,10.0495,1
7.1,0.43,0.42,5.5,0.07,29.0,129.0,0.9973,3.42,0.72,10.5,7.95,16.13636,0.22479,100.0,0.52331,4.9225,0.79,27.189,10.47165,1
